area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
08000,0,10,50,0,2005,A,NA,169474,2189516,91085642018,21333938146,524468026,800,41601,NA,1,1,1,1,1,1,1,NA,6481,4,47164,2.2,4800368835,5.6,799396065,3.9,138695650,36,25,3.2,1325,3.3
08001,0,10,70,0,2005,A,NA,8987,147682,5667898625,1478201185,38988250,738,38379,NA,1,1,1,1,1,1,1,NA,350,4.1,6339,4.5,342879576,6.4,74343501,5.3,11118969,39.9,13,1.8,705,1.9
08003,0,10,70,0,2005,A,NA,569,7583,199056986,65235570,1235835,505,26252,NA,1,1,1,1,1,1,1,NA,-5,-0.9,-41,-0.5,5836185,3,-1641722,-2.5,280865,29.4,18,3.7,907,3.6
08005,0,10,70,0,2005,A,NA,19340,271270,13177879623,2834051038,72772358,934,48579,NA,1,1,1,1,1,1,1,NA,490,2.6,2980,1.1,476278521,3.7,69692463,2.5,18721059,34.6,24,2.6,1236,2.6
08007,0,10,70,0,2005,A,NA,559,3552,91007151,39923161,806561,493,25620,NA,1,1,1,1,1,1,1,NA,30,5.7,308,9.5,11471228,14.4,4742638,13.5,230372,40,21,4.4,1102,4.5
08009,0,10,70,0,2005,A,NA,129,1149,23512445,13898286,97068,394,20466,NA,1,1,1,1,1,1,1,NA,2,1.6,-11,-0.9,784491,3.5,357873,2.6,31466,48,17,4.5,864,4.4
08011,0,10,70,0,2005,A,NA,91,1228,32735020,15344350,116730,513,26657,NA,1,1,1,1,1,1,1,NA,-3,-3.2,-14,-1.1,-259827,-0.8,11729,0.1,13104,12.6,2,0.4,91,0.3
08013,0,10,70,0,2005,A,NA,12232,154367,7581716635,1392986631,36128206,945,49115,NA,1,1,1,1,1,1,1,NA,441,3.7,2534,1.7,405448407,5.6,32957437,2.4,8914696,32.8,36,4,1851,3.9
08014,0,10,70,0,2005,A,NA,1819,28738,1484820189,308213511,8829333,994,51667,NA,1,1,1,1,1,1,1,NA,215,13.4,1001,3.6,54036693,3.8,15986789,5.5,1936934,28.1,2,0.2,83,0.2
08015,0,10,70,0,2005,A,NA,908,6450,162871615,58795544,1154920,486,25250,NA,1,1,1,1,1,1,1,NA,44,5.1,25,0.4,8638316,5.6,1699729,3,293245,34,24,5.2,1246,5.2
08017,0,10,70,0,2005,A,NA,92,806,24731993,7670458,107496,590,30672,NA,1,1,1,1,1,1,1,NA,7,8.2,39,5.1,1476301,6.3,558734,7.9,36573,51.6,7,1.2,335,1.1
08019,0,10,70,0,2005,A,NA,421,3095,104505422,35208022,686530,649,33771,NA,1,1,1,1,1,1,1,NA,8,1.9,36,1.2,5404962,5.5,824084,2.4,182397,36.2,26,4.2,1369,4.2
08021,0,10,70,0,2005,A,NA,146,1344,32567598,13857198,204339,466,24239,NA,1,1,1,1,1,1,1,NA,4,2.8,-37,-2.7,705216,2.2,-2009830,-12.7,10042,5.2,22,5,1160,5
08023,0,10,70,0,2005,A,NA,82,748,16393979,10064274,141938,421,21905,NA,1,1,1,1,1,1,1,NA,0,0,-76,-9.2,-347205,-2.1,-1507573,-13,11616,8.9,30,7.7,1588,7.8
08025,0,10,70,0,2005,A,NA,60,1061,32246696,9936235,126093,585,30402,NA,1,1,1,1,1,1,1,NA,-2,-3.2,22,2.1,1413479,4.6,401051,4.2,42342,50.6,14,2.5,729,2.5
08027,0,10,70,0,2005,A,NA,187,916,20698511,10369592,192688,434,22586,NA,1,1,1,1,1,1,1,NA,11,6.2,-44,-4.6,-2357388,-10.2,-329391,-3.1,-253,-0.1,-28,-6.1,-1431,-6
08029,0,10,70,0,2005,A,NA,881,8153,213144060,79377949,1439942,503,26144,NA,1,1,1,1,1,1,1,NA,40,4.8,246,3.1,15003521,7.6,4901014,6.6,383937,36.4,21,4.4,1086,4.3
08031,0,10,70,0,2005,A,NA,24841,424659,21256652044,4069491058,105420803,963,50056,NA,1,1,1,1,1,1,1,NA,504,2.1,1189,0.3,829641503,4.1,49345093,1.2,25452561,31.8,35,3.8,1819,3.8
08033,0,10,70,0,2005,A,NA,68,402,7963763,5050679,62096,381,19794,NA,1,1,1,1,1,1,1,NA,-3,-4.2,-37,-8.4,-1061024,-11.8,-316699,-5.9,7429,13.6,-14,-3.5,-760,-3.7
08035,0,10,70,0,2005,A,NA,8261,82930,3411963577,881107474,21908834,791,41143,NA,1,1,1,1,1,1,1,NA,751,10,8366,11.2,552195078,19.3,114588502,14.9,7270717,49.7,53,7.2,2790,7.3
08037,0,10,70,0,2005,A,NA,3358,29113,1060517491,371741881,7816594,701,36427,NA,1,1,1,1,1,1,1,NA,164,5.1,1473,5.3,108803133,11.4,25396036,7.3,2305112,41.8,39,5.9,1994,5.8
08039,0,10,70,0,2005,A,NA,647,3615,106259832,52378136,855831,565,29391,NA,1,1,1,1,1,1,1,NA,43,7.1,98,2.8,4447767,4.4,-761264,-1.4,213624,33.3,8,1.4,443,1.5
08041,0,10,70,0,2005,A,NA,16626,239783,8993344900,2138097185,54948890,721,37506,NA,1,1,1,1,1,1,1,NA,659,4.1,4101,1.7,377030837,4.4,57884701,2.8,13067022,31.2,18,2.6,947,2.6
08043,0,10,70,0,2005,A,NA,950,13335,405645768,96983108,2032226,585,30419,NA,1,1,1,1,1,1,1,NA,17,1.8,175,1.3,15024278,3.8,3441845,3.7,554712,37.5,14,2.5,736,2.5
08045,0,10,70,0,2005,A,NA,2531,22961,808598512,251453275,6280172,677,35216,NA,1,1,1,1,1,1,1,NA,179,7.6,2158,10.4,131570982,19.4,36797038,17.1,2409617,62.3,51,8.1,2671,8.2
08047,0,10,70,0,2005,A,NA,160,5434,182514548,76437555,1441766,646,33585,NA,1,1,1,1,1,1,1,NA,-1,-0.6,172,3.3,10110228,5.9,4159423,5.8,571634,65.7,16,2.5,820,2.5
08049,0,10,70,0,2005,A,NA,950,6853,182342026,72464261,1406681,512,26608,NA,1,1,1,1,1,1,1,NA,40,4.4,68,1,9865948,5.7,1921347,2.7,381039,37.2,23,4.7,1187,4.7
08051,0,10,70,0,2005,A,NA,1037,7891,219945516,76171247,1490792,536,27875,NA,1,1,1,1,1,1,1,NA,54,5.5,380,5.1,18398078,9.1,4683213,6.6,454045,43.8,20,3.9,1042,3.9
08053,0,10,70,0,2005,A,NA,83,276,5632074,3485092,44505,392,20375,NA,1,1,1,1,1,1,1,NA,-1,-1.2,-3,-1.1,257791,4.8,70298,2.1,13032,41.4,22,5.9,1118,5.8
08055,0,10,70,0,2005,A,NA,232,1910,45771570,20735214,319823,461,23959,NA,1,1,1,1,1,1,1,NA,-3,-1.3,-20,-1,1297036,2.9,1082245,5.5,97095,43.6,18,4.1,909,3.9
08057,0,10,70,0,2005,A,NA,85,582,13640186,6394498,119118,451,23450,NA,1,1,1,1,1,1,1,NA,2,2.4,-15,-2.5,176726,1.3,-248906,-3.7,21853,22.5,17,3.9,892,4
08059,0,10,70,0,2005,A,NA,18520,206031,8553697910,1907065561,45572354,798,41517,NA,1,1,1,1,1,1,1,NA,502,2.8,2426,1.2,344804781,4.2,44921444,2.4,12144361,36.3,23,3,1199,3
08061,0,10,70,0,2005,A,NA,50,405,8454461,4028861,47147,401,20858,NA,1,1,1,1,1,1,1,NA,-1,-2,-4,-1,-2797,0,-43598,-1.1,12171,34.8,4,1,197,1
08063,0,10,70,0,2005,A,NA,299,2906,69562826,28544032,380197,460,23940,NA,1,1,1,1,1,1,1,NA,-1,-0.3,73,2.6,1221314,1.8,1293674,4.7,105094,38.2,-4,-0.9,-181,-0.8
08065,0,10,70,0,2005,A,NA,233,1903,47100203,15118060,264398,476,24745,NA,1,1,1,1,1,1,1,NA,-4,-1.7,-14,-0.7,286947,0.6,-104670,-0.7,53923,25.6,6,1.3,320,1.3
08067,0,10,70,0,2005,A,NA,2475,23554,757576385,273558827,5004881,619,32163,NA,1,1,1,1,1,1,1,NA,139,6,582,2.5,62352246,9,31060277,12.8,1332896,36.3,37,6.4,1899,6.3
08069,0,10,70,0,2005,A,NA,9670,124982,4575851071,1099242104,26950791,704,36612,NA,1,1,1,1,1,1,1,NA,454,4.9,2613,2.1,229088923,5.3,40997189,3.9,7754405,40.4,21,3.1,1090,3.1
08071,0,10,70,0,2005,A,NA,502,5574,147280995,62953577,1011421,508,26425,NA,1,1,1,1,1,1,1,NA,23,4.8,187,3.5,12917240,9.6,3733505,6.3,274449,37.2,28,5.8,1484,6
08073,0,10,70,0,2005,A,NA,178,2149,59357867,19714040,223964,531,27616,NA,1,1,1,1,1,1,1,NA,1,0.6,22,1,2310357,4,508416,2.6,59545,36.2,15,2.9,793,3
08075,0,10,70,0,2005,A,NA,688,8401,226768027,68537679,1165075,519,26994,NA,1,1,1,1,1,1,1,NA,9,1.3,272,3.3,10943151,5.1,5946670,9.5,437021,60,8,1.6,445,1.7
08077,0,10,70,0,2005,A,NA,4572,55560,1756292945,491235091,12066751,608,31611,NA,1,1,1,1,1,1,1,NA,249,5.8,1539,2.8,137560098,8.5,25779338,5.5,3525462,41.3,32,5.6,1646,5.5
08079,0,10,70,0,2005,A,NA,72,352,6609680,4860458,55602,361,18782,NA,1,1,1,1,1,1,1,NA,-2,-2.7,-138,-28.2,-3484080,-34.5,-1620761,-25,-10660,-16.1,-35,-8.8,-1807,-8.8
08081,0,10,70,0,2005,A,NA,471,4944,166723165,43985592,793414,648,33722,NA,1,1,1,1,1,1,1,NA,12,2.6,205,4.3,10568866,6.8,3895994,9.7,297743,60.1,14,2.2,773,2.3
08083,0,10,70,0,2005,A,NA,823,9206,239937789,96445647,2089699,501,26064,NA,1,1,1,1,1,1,1,NA,8,1,189,2.1,17107232,7.7,4145832,4.5,614254,41.6,26,5.5,1351,5.5
08085,0,10,70,0,2005,A,NA,1385,14423,415390782,128405052,3062608,554,28802,NA,1,1,1,1,1,1,1,NA,63,4.8,517,3.7,32284371,8.4,9417570,7.9,893090,41.2,24,4.5,1252,4.5
08087,0,10,70,0,2005,A,NA,725,11225,313988033,97479892,1835966,538,27971,NA,1,1,1,1,1,1,1,NA,0,0,5,0,12662313,4.2,2137024,2.2,581575,46.4,22,4.3,1115,4.2
08089,0,10,70,0,2005,A,NA,557,6743,161780182,58604505,1056794,461,23991,NA,1,1,1,1,1,1,1,NA,14,2.6,-150,-2.2,-95267,-0.1,-1393340,-2.3,244704,30.1,9,2,506,2.2
08091,0,10,70,0,2005,A,NA,305,1684,45072550,23419496,456630,515,26769,NA,1,1,1,1,1,1,1,NA,23,8.2,162,10.6,2110237,4.9,2638703,12.7,126330,38.2,-28,-5.2,-1465,-5.2
08093,0,10,70,0,2005,A,NA,555,2229,64348518,27717609,427442,555,28873,NA,1,1,1,1,1,1,1,NA,33,6.3,152,7.3,7206199,12.6,2696090,10.8,154097,56.4,26,4.9,1364,5
08095,0,10,70,0,2005,A,NA,153,1563,37880457,19305931,196567,466,24233,NA,1,1,1,1,1,1,1,NA,-4,-2.5,9,0.6,1085527,3,1013824,5.5,66919,51.6,11,2.4,552,2.3
08097,0,10,70,0,2005,A,NA,1876,16382,646867564,220133794,5181584,759,39487,NA,1,1,1,1,1,1,1,NA,50,2.7,499,3.1,49220820,8.2,12309448,5.9,1385889,36.5,35,4.8,1858,4.9
08099,0,10,70,0,2005,A,NA,428,5438,135811694,53965352,869129,480,24977,NA,1,1,1,1,1,1,1,NA,-17,-3.8,-158,-2.8,-7349581,-5.1,-1738606,-3.1,210790,32,-12,-2.4,-608,-2.4
08101,0,10,70,0,2005,A,NA,3412,53730,1620759515,431067877,10898200,580,30165,NA,1,1,1,1,1,1,1,NA,56,1.7,500,0.9,-777317,0,8377425,2,2540628,30.4,-6,-1,-298,-1
08103,0,10,70,0,2005,A,NA,284,3108,114006430,32296864,716875,705,36680,NA,1,1,1,1,1,1,1,NA,14,5.2,314,11.2,18876398,19.8,6948692,27.4,338711,89.6,50,7.6,2627,7.7
08105,0,10,70,0,2005,A,NA,458,4394,107647878,44883237,1070553,471,24499,NA,1,1,1,1,1,1,1,NA,12,2.7,-90,-2,360635,0.3,-36161,-0.1,226065,26.8,11,2.4,570,2.4
08107,0,10,70,0,2005,A,NA,1653,14245,486701496,158389346,3972815,657,34166,NA,1,1,1,1,1,1,1,NA,86,5.5,677,5,48581187,11.1,9987213,6.7,1076847,37.2,36,5.8,1876,5.8
08109,0,10,70,0,2005,A,NA,197,1708,37480059,23173348,376564,422,21947,NA,1,1,1,1,1,1,1,NA,7,3.7,75,4.6,1935641,5.4,1111006,5,104359,38.3,3,0.7,180,0.8
08111,0,10,70,0,2005,A,NA,79,264,5666311,3693486,93824,413,21497,NA,1,1,1,1,1,1,1,NA,0,0,-10,-3.6,327668,6.1,29267,0.8,22181,31,38,10.1,2013,10.3
