area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
C1450,0,10,40,0,2005,A,NA,12232,154367,7581716635,1392986631,36128206,945,49115,NA,1,1,1,1,1,1,1,NA,441,3.7,2534,1.7,405448407,5.6,32957437,2.4,8914696,32.8,36,4,1851,3.9
C1782,0,10,40,0,2005,A,NA,17431,246405,9183127462,2215539636,56437173,717,37268,NA,1,1,1,1,1,1,1,NA,713,4.3,4293,1.8,390132523,4.4,60574478,2.8,13451224,31.3,19,2.7,950,2.6
C1974,0,10,40,0,2005,A,NA,83549,1175682,54010540288,11669871149,296903501,883,45940,NA,1,1,1,1,1,1,1,NA,2894,3.6,22758,2,2627005308,5.1,375796125,3.3,77766353,35.5,26,3,1372,3.1
C2266,0,10,40,0,2005,A,NA,9670,124982,4575851071,1099242104,26950791,704,36612,NA,1,1,1,1,1,1,1,NA,454,4.9,2613,2.1,229088923,5.3,40997189,3.9,7754405,40.4,21,3.1,1090,3.1
C2430,0,10,40,0,2005,A,NA,4572,55560,1756292945,491235091,12066751,608,31611,NA,1,1,1,1,1,1,1,NA,249,5.8,1539,2.8,137560098,8.5,25779338,5.5,3525462,41.3,32,5.6,1646,5.5
C2454,0,10,40,0,2005,A,NA,5630,77004,2590149626,730587939,16321878,647,33636,NA,1,1,1,1,1,1,1,NA,329,6.2,2171,2.9,151128598,6.2,40864762,5.9,4975228,43.8,20,3.2,1043,3.2
C3938,0,10,40,0,2005,A,NA,3412,53730,1620759515,431067877,10898200,580,30165,NA,1,1,1,1,1,1,1,NA,56,1.7,500,0.9,-777317,0,8377425,2,2540628,30.4,-6,-1,-298,-1
C1450,0,10,40,0,2006,A,NA,12546,156914,7993885784,1428140396,32254666,980,50944,NA,1,1,1,1,1,1,1,NA,314,2.6,2547,1.6,412169149,5.4,35153765,2.5,-3873540,-10.7,35,3.7,1829,3.7
C1782,0,10,40,0,2006,A,NA,18192,251922,9654813678,2279773694,50841773,737,38325,NA,1,1,1,1,1,1,1,NA,761,4.4,5517,2.2,471686216,5.1,64234058,2.9,-5595400,-9.9,20,2.8,1057,2.8
C1974,0,10,40,0,2006,A,NA,85745,1200190,57887711031,12061991548,265504222,928,48232,NA,1,1,1,1,1,1,1,NA,2196,2.6,24508,2.1,3877170743,7.2,392120399,3.4,-31399279,-10.6,45,5.1,2292,5
C2266,0,10,40,0,2006,A,NA,10033,127335,4831112289,1124958685,23743318,730,37940,NA,1,1,1,1,1,1,1,NA,363,3.8,2353,1.9,255261218,5.6,25716581,2.3,-3207473,-11.9,26,3.7,1328,3.6
C2430,0,10,40,0,2006,A,NA,4803,57970,1955284224,521378312,11398705,649,33729,NA,1,1,1,1,1,1,1,NA,231,5.1,2410,4.3,198991279,11.3,30143221,6.1,-668046,-5.5,41,6.7,2118,6.7
C2454,0,10,40,0,2006,A,NA,5911,80405,2825740202,773010048,14829716,676,35144,NA,1,1,1,1,1,1,1,NA,281,5,3401,4.4,235590576,9.1,42422109,5.8,-1492162,-9.1,29,4.5,1508,4.5
C3938,0,10,40,0,2006,A,NA,3451,55153,1706472813,440905932,9936255,595,30941,NA,1,1,1,1,1,1,1,NA,39,1.1,1423,2.6,85713298,5.3,9838055,2.3,-961945,-8.8,15,2.6,776,2.6
C1450,0,10,40,0,2007,A,NA,12862,159984,8438368391,1480729946,26833971,1014,52745,NA,1,1,1,1,1,1,1,NA,316,2.5,3070,2,444482607,5.6,52589550,3.7,-5420695,-16.8,34,3.5,1801,3.5
