PLACEFP,PLACENAME,TYPE,Common Name,FUNCSTAT,MULTICOUNTY,WEIGHT,COUNTY_1,COUNTY_2,COUNTY_3
320,Acres Green CDP,Census Designated Place,Acres Green,S,1,1,Douglas County,,
620,Aetna Estates CDP,Census Designated Place,Aetna Estates,S,1,1,Arapahoe County,,
760,Aguilar town,Incorporated Place,Aguilar,A,1,1,Las Animas County,,
870,Air Force Academy CDP,Census Designated Place,Air Force Academy,S,1,1,El Paso County,,
925,Akron town,Incorporated Place,Akron,A,1,1,Washington County,,
1090,Alamosa city,Incorporated Place,Alamosa,A,1,1,Alamosa County,,
1145,Alamosa East CDP,Census Designated Place,Alamosa East,S,1,1,Alamosa County,,
1420,Allenspark CDP,Census Designated Place,Allenspark,S,1,1,Boulder County,,
1530,Alma town,Incorporated Place,Alma,A,1,1,Park County,,
1640,Alpine CDP,Census Designated Place,Alpine,S,1,1,Rio Grande County,,
1740,Altona CDP,Census Designated Place,Altona,S,1,1,Boulder County,,
1915,Amherst CDP,Census Designated Place,Amherst,S,1,1,Phillips County,,
2355,Antonito town,Incorporated Place,Antonito,A,1,1,Conejos County,,
2575,Applewood CDP,Census Designated Place,Applewood,S,1,1,Jefferson County,,
2905,Arboles CDP,Census Designated Place,Arboles,S,1,1,Archuleta County,,
3015,Aristocrat Ranchettes CDP,Census Designated Place,Aristocrat Ranchettes,S,1,1,Weld County,,
3235,Arriba town,Incorporated Place,Arriba,A,1,1,Lincoln County,,
3455,Arvada city,Incorporated Place,Arvada,A,2,0.5,Adams County, Jefferson County,
3620,Aspen city,Incorporated Place,Aspen,A,1,1,Pitkin County,,
3730,Aspen Park CDP,Census Designated Place,Aspen Park,S,1,1,Jefferson County,,
3840,Atwood CDP,Census Designated Place,Atwood,S,1,1,Logan County,,
3950,Ault town,Incorporated Place,Ault,A,1,1,Weld County,,
4000,Aurora city,Incorporated Place,Aurora,A,3,0.333333333,Adams County, Arapahoe County, Douglas County
4110,Avon town,Incorporated Place,Avon,A,1,1,Eagle County,,
4165,Avondale CDP,Census Designated Place,Avondale,S,1,1,Pueblo County,,
4620,Bark Ranch CDP,Census Designated Place,Bark Ranch,S,1,1,Boulder County,,
4935,Basalt town,Incorporated Place,Basalt,A,2,0.5,Eagle County, Pitkin County,
5120,Battlement Mesa CDP,Census Designated Place,Battlement Mesa,S,1,1,Garfield County,,
5265,Bayfield town,Incorporated Place,Bayfield,A,1,1,La Plata County,,
6090,Bennett town,Incorporated Place,Bennett,A,2,0.5,Adams County, Arapahoe County,
6172,Berkley CDP,Census Designated Place,Berkley,S,1,1,Adams County,,
6255,Berthoud town,Incorporated Place,Berthoud,A,2,0.5,Larimer County, Weld County,
6530,Bethune town,Incorporated Place,Bethune,A,1,1,Kit Carson County,,
6602,Beulah Valley CDP,Census Designated Place,Beulah Valley,S,1,1,Pueblo County,,
6970,Black Forest CDP,Census Designated Place,Black Forest,S,1,1,El Paso County,,
7025,Black Hawk city,Incorporated Place,Black Hawk,A,1,1,Gilpin County,,
7190,Blanca town,Incorporated Place,Blanca,A,1,1,Costilla County,,
7245,Blende CDP,Census Designated Place,Blende,S,1,1,Pueblo County,,
7410,Blue River town,Incorporated Place,Blue River,A,1,1,Summit County,,
7420,Blue Sky CDP,Census Designated Place,Blue Sky,S,1,1,Morgan County,,
7571,Bonanza town,Incorporated Place,Bonanza,A,1,1,Saguache County,,
7580,Bonanza Mountain Estates CDP,Census Designated Place,Bonanza Mountain Estates,S,1,1,Boulder County,,
7795,Boone town,Incorporated Place,Boone,A,1,1,Pueblo County,,
7850,Boulder city,Incorporated Place,Boulder,A,1,1,Boulder County,,
8070,Bow Mar town,Incorporated Place,Bow Mar,A,2,0.5,Arapahoe County, Jefferson County,
8290,Brandon CDP,Census Designated Place,Brandon,S,1,1,Kiowa County,,
8345,Branson town,Incorporated Place,Branson,A,1,1,Las Animas County,,
8400,Breckenridge town,Incorporated Place,Breckenridge,A,1,1,Summit County,,
8530,Brick Center CDP,Census Designated Place,Brick Center,S,1,1,Arapahoe County,,
8675,Brighton city,Incorporated Place,Brighton,A,2,0.5,Adams County, Weld County,
9115,Brookside town,Incorporated Place,Brookside,A,1,1,Fremont County,,
9280,Broomfield city,Incorporated Place,Broomfield,A,1,1,Broomfield County,,
9555,Brush city,Incorporated Place,Brush,A,1,1,Morgan County,,
10105,Buena Vista town,Incorporated Place,Buena Vista,A,1,1,Chaffee County,,
10600,Burlington city,Incorporated Place,Burlington,A,1,1,Kit Carson County,,
10985,Byers CDP,Census Designated Place,Byers,S,1,1,Arapahoe County,,
11260,Calhan town,Incorporated Place,Calhan,A,1,1,El Paso County,,
11645,Campo town,Incorporated Place,Campo,A,1,1,Baca County,,
11810,CaÃ±on City city,Incorporated Place,Cañon City,A,1,1,Fremont County,,
11975,Capulin CDP,Census Designated Place,Capulin,S,1,1,Conejos County,,
12045,Carbondale town,Incorporated Place,Carbondale,A,1,1,Garfield County,,
12325,Cascade-Chipita Park CDP,Census Designated Place,Cascade-Chipita Park,S,1,1,El Paso County,,
12387,Castle Pines CDP,Census Designated Place,Castle Pines,S,1,1,Douglas County,,
12390,Castle Pines North city,Incorporated Place,Castle Pines North,A,1,1,Douglas County,,
12415,Castle Rock town,Incorporated Place,Castle Rock,A,1,1,Douglas County,,
12450,Cathedral CDP,Census Designated Place,Cathedral,S,1,1,Hinsdale County,,
12460,Catherine CDP,Census Designated Place,Catherine,S,1,1,Garfield County,,
12470,Cattle Creek CDP,Census Designated Place,Cattle Creek,S,1,1,Garfield County,,
12635,Cedaredge town,Incorporated Place,Cedaredge,A,1,1,Delta County,,
12815,Centennial city,Incorporated Place,Centennial,A,1,1,Arapahoe County,,
12855,Center town,Incorporated Place,Center,A,2,0.5,Rio Grande County, Saguache County,
12910,Central City city,Incorporated Place,Central City,A,2,0.5,Clear Creek County, Gilpin County,
12945,Chacra CDP,Census Designated Place,Chacra,S,1,1,Garfield County,,
13460,Cheraw town,Incorporated Place,Cheraw,A,1,1,Otero County,,
13590,Cherry Creek CDP,Census Designated Place,Cherry Creek,S,1,1,Arapahoe County,,
13845,Cherry Hills Village city,Incorporated Place,Cherry Hills Village,A,1,1,Arapahoe County,,
14175,Cheyenne Wells town,Incorporated Place,Cheyenne Wells,A,1,1,Cheyenne County,,
14587,Cimarron Hills CDP,Census Designated Place,Cimarron Hills,S,1,1,El Paso County,,
14765,City of Creede town,Incorporated Place,Creede,A,1,1,Mineral County,,
15165,Clifton CDP,Census Designated Place,Clifton,S,1,1,Mesa County,,
15302,Coal Creek CDP,Census Designated Place,Coal Creek,S,3,0.333333333,Boulder County, Gilpin County, Jefferson County
15330,Coal Creek town,Incorporated Place,Coal Creek,A,1,1,Fremont County,,
15440,Coaldale CDP,Census Designated Place,Coaldale,S,1,1,Fremont County,,
15550,Cokedale town,Incorporated Place,Cokedale,A,1,1,Las Animas County,,
15605,Collbran town,Incorporated Place,Collbran,A,1,1,Mesa County,,
15825,Colona CDP,Census Designated Place,Colona,S,1,1,Ouray County,,
15935,Colorado City CDP,Census Designated Place,Colorado City,S,1,1,Pueblo County,,
16000,Colorado Springs city,Incorporated Place,Colorado Springs,A,1,1,El Paso County,,
16110,Columbine CDP,Census Designated Place,Columbine,S,2,0.5,Arapahoe County, Jefferson County,
16385,Columbine Valley town,Incorporated Place,Columbine Valley,A,1,1,Arapahoe County,,
16465,Comanche Creek CDP,Census Designated Place,Comanche Creek,S,1,1,Arapahoe County,,
16495,Commerce City city,Incorporated Place,Commerce City,A,1,1,Adams County,,
16715,Conejos CDP,Census Designated Place,Conejos,S,1,1,Conejos County,,
17150,Copper Mountain CDP,Census Designated Place,Copper Mountain,S,1,1,Summit County,,
17375,Cortez city,Incorporated Place,Cortez,A,1,1,Montezuma County,,
17485,Cotopaxi CDP,Census Designated Place,Cotopaxi,S,1,1,Fremont County,,
17760,Craig city,Incorporated Place,Craig,A,1,1,Moffat County,,
17925,Crawford town,Incorporated Place,Crawford,A,1,1,Delta County,,
18310,Crested Butte town,Incorporated Place,Crested Butte,A,1,1,Gunnison County,,
18420,Crestone town,Incorporated Place,Crestone,A,1,1,Saguache County,,
18530,Cripple Creek city,Incorporated Place,Cripple Creek,A,1,1,Teller County,,
18585,Crisman CDP,Census Designated Place,Crisman,S,1,1,Boulder County,,
18640,Crook town,Incorporated Place,Crook,A,1,1,Logan County,,
18750,Crowley town,Incorporated Place,Crowley,A,1,1,Crowley County,,
19080,Dacono city,Incorporated Place,Dacono,A,1,1,Weld County,,
19150,Dakota Ridge CDP,Census Designated Place,Dakota Ridge,S,1,1,Jefferson County,,
19355,De Beque town,Incorporated Place,De Beque,A,1,1,Mesa County,,
19630,Deer Trail town,Incorporated Place,Deer Trail,A,1,1,Arapahoe County,,
